Real,Imaginary
42.6464309692383,-7.11319875717163
33.6738739013672,-6.31747245788574
63.493579864502,-9.96162700653076
72.3501205444336,-2.31354880332947
48.8436622619629,20.8660659790039
81.7387237548828,8.72081851959229
63.186408996582,4.14885902404785
64.459358215332,-0.588152766227722
65.0068817138672,3.28742480278015
62.195915222168,4.33245468139648
69.0525283813477,2.41823315620422
64.7462387084961,2.21275901794434
67.9314498901367,2.34169220924377
66.4500503540039,2.63151240348816
62.4022674560547,1.34915137290955
66.636589050293,2.61697793006897
63.8996353149414,1.4023243188858
64.1389465332031,-1.07714653015137
65.5774078369141,1.4032210111618
62.559139251709,3.14830279350281
66.9861145019531,-0.0402217321097851
64.3050689697266,-2.26894474029541
67.2132339477539,3.45679926872253
65.9209289550781,-1.75979900360107
64.2479095458984,-2.17705988883972
64.0151062011719,3.05055117607117
64.0763778686523,3.98968839645386
